id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,photos/0,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to/0/user_id,reply_to/0/username,retweet_date,mentions/0,reply_to/1/user_id,reply_to/1/username,urls/0,hashtags/0,mentions/1,reply_to/2/user_id,reply_to/2/username,hashtags/1,urls/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/2,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8,mentions/9,mentions/10,mentions/11,mentions/12,reply_to/3/user_id,reply_to/3/username,reply_to/4/user_id,reply_to/4/username,reply_to/5/user_id,reply_to/5/username,reply_to/6/user_id,reply_to/6/username,reply_to/7/user_id,reply_to/7/username,reply_to/8/user_id,reply_to/8/username,reply_to/9/user_id,reply_to/9/username,reply_to/10/user_id,reply_to/10/username,reply_to/11/user_id,reply_to/11/username,reply_to/12/user_id,reply_to/12/username,reply_to/13/user_id,reply_to/13/username,hashtags/6,photos/1,photos/2,mentions/13,reply_to/14/user_id,reply_to/14/username,hashtags/7,hashtags/8,hashtags/9,hashtags/10,mentions/14,mentions/15,reply_to/15/user_id,reply_to/15/username,reply_to/16/user_id,reply_to/16/username,photos/3
1185350104171143200,1185350104171143168,1571444462000,2019-10-18,19:21:02,Central Daylight Time (Mexico),1176937817743794200,erik02166981,Erik,,"¿Quién es Ovidio Guzmán, hijo del “Chapo” detenido en Sinaloa?  https://www.unotv.com/noticias/portal/nacional/detalle/quien-es-ovidio-guzman-lopez-hijo-chapo-605370/ …",,0,0,0,https://twitter.com/Erik02166981/status/1185350104171143168,false,,0,,,,,,,1176937817743794178,Erik02166981,,,,,https://www.unotv.com/noticias/portal/nacional/detalle/quien-es-ovidio-guzman-lopez-hijo-chapo-605370/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185350090342523000,1185320167166926849,1571444458000,2019-10-18,19:20:58,Central Daylight Time (Mexico),2882886687,jcabello521,Joaquín Cabello,,"Pues ya de consuelo Ovidio Guzmán apoye al Gobierno para que su cartel combata a otros, vamos que así como ayudó AMLO al Narco, éste ayude a que México ya no haya tantos asesinatos y demás. Se podrá?",,0,0,0,https://twitter.com/jcabello521/status/1185350090342522882,false,,0,,,,,,,2882886687,jcabello521,,azucenau,93922911,azucenau,,,lopezobrador_,82119937,lopezobrador_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185350064065011700,1185350064065011712,1571444452000,2019-10-18,19:20:52,Central Daylight Time (Mexico),395721191,erickeo619,ERICKEO MARTINEZ,,Abogados de la familia relatan cómo entraron por Ovidio! Obrador envía n...  https://youtu.be/NXa4hKxQy4I  via @YouTube,,0,0,0,https://twitter.com/erickeo619/status/1185350064065011712,false,,0,,,,,,,395721191,erickeo619,,youtube,10228272,YouTube,https://youtu.be/NXa4hKxQy4I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185350043965902800,1185350043965902849,1571444447000,2019-10-18,19:20:47,Central Daylight Time (Mexico),1962385742,elchynovar,Pan de Dios,,"Dejen de idolatrar a narcos, que mamada es esa de don Ovidio Guzmán, la pinche sociedad hace grandes a delincuentes. Ese delincuente no arrodilló a México, México valoró por primera vez la vida de los mexicanos!",,1,0,7,https://twitter.com/ElChynoVar/status/1185350043965902849,false,,0,,,,,,,1962385742,ElChynoVar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349988035055600,1185349988035055616,1571444434000,2019-10-18,19:20:34,Central Daylight Time (Mexico),285814986,pzp6102,P.Zubikarai,,"Si hubo pacto, acordaron liberar a Ovidio  https://twitter.com/logomonmen/status/1185340132011823107 …",,0,0,1,https://twitter.com/pzp6102/status/1185349988035055616,false,https://twitter.com/logomonmen/status/1185340132011823107,0,,,,,,,285814986,pzp6102,,,,,https://twitter.com/logomonmen/status/1185340132011823107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349979956752400,1185349979956752385,1571444432000,2019-10-18,19:20:32,Central Daylight Time (Mexico),319200607,betosegovia2,beto segovia,,"La mayoria de las mujeres al conocer a Ovidio Guzmán están de ofrecidas, aún el siendo un delincuente, ha pero no fuera el señor o el vecino que les sonríe por amabilidad porque quieren denunciarlo por acaso dejen de ser tan putas cuando les conviene...",,0,0,0,https://twitter.com/betosegovia2/status/1185349979956752385,false,,0,,,,,,,319200607,betosegovia2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349933513302000,1185349933513302017,1571444421000,2019-10-18,19:20:21,Central Daylight Time (Mexico),1422097944,abogadodeltuca,Abogado del Tuca,,"La bioserie de Ovidio, con @DiegoBoneta , en 3, 2, 1...",,0,0,0,https://twitter.com/AbogadoDelTuca/status/1185349933513302017,false,,0,,,,,,,1422097944,AbogadoDelTuca,,diegoboneta,44970351,DiegoBoneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349931181183000,1185349931181182976,1571444420000,2019-10-18,19:20:20,Central Daylight Time (Mexico),841834142669107200,missbitchy_mty,Miss Bitchy,,Ahora ya lo idolatran y es DON OVIDIO GUZMÁN. México estamos muy mal. Se abrió un parteaguas para cualquier futura detención en este #EstadoFallido que tenemos. #MexicoNoTienePresidente #OvidioGuzman,,0,0,1,https://twitter.com/missbitchy_mty/status/1185349931181182976,false,,0,,,,,,,841834142669107200,missbitchy_mty,,,,,,#estadofallido,,,,#mexiconotienepresidente,,#ovidioguzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349921379106800,1185349921379106816,1571444418000,2019-10-18,19:20:18,Central Daylight Time (Mexico),82252582,moreliactiva,Moreliactiva,,"El Senado citará a comparecer al secretario de Seguridad, Alfonso Durazo, para que dé cuenta de las fallas en el dispositivo para capturar a Ovidio Guzmán  https://moreliactiva.com/senado-citara-a-durazo-para-que-explique-operativo-en-culiacan-para-detener-a-hijo-de-el-chapo/ … pic.twitter.com/3JWMpKwgT1",https://pbs.twimg.com/media/EHM1eMfX0AEpjur.jpg,0,0,0,https://twitter.com/Moreliactiva/status/1185349921379106816,false,,0,,,,,,,82252582,Moreliactiva,,,,,https://moreliactiva.com/senado-citara-a-durazo-para-que-explique-operativo-en-culiacan-para-detener-a-hijo-de-el-chapo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185349915024724000,1185349915024723970,1571444417000,2019-10-18,19:20:17,Central Daylight Time (Mexico),259334563,morocopalacios,Moroco,,-Ovidio Guzmán uno de los narcos más buscados: 1 hora en la cárcel  -Yo miando en la calle por andar bien pedo: 72 horas preso.,,47,363,1676,https://twitter.com/MorocoPalacios/status/1185349915024723970,false,,0,,,,,,,259334563,MorocoPalacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
